precinct_name,rep,dem,lib,ust,grn,nlp,w1,w2,w3,w4,w5,w6,w7
City of Parchment,353,487,55,6,16,0,0,0,0,0,0,0,0
City of Portage #1,348,604,44,12,17,0,0,0,0,0,1,1,0
City of Portage #2A,326,500,60,6,21,0,0,0,0,0,0,2,0
City of Portage #3,626,627,61,6,17,0,0,0,0,0,0,3,0
City of Portage #4A,594,518,49,2,13,0,0,0,0,0,1,1,0
City of Portage #5,505,468,55,3,16,0,0,0,0,0,0,10,0
City of Portage #6,696,611,73,7,16,0,0,0,0,0,0,14,0
City of Portage #7,633,1016,91,6,26,2,0,0,0,0,0,4,0
City of Portage #8,637,712,70,7,7,0,0,0,0,0,2,6,0
City of Portage #9,487,581,50,5,8,0,0,0,0,0,0,5,0
City of Portage #10A,770,656,76,14,19,0,0,0,0,0,2,3,0
City of Portage #11,584,805,67,5,15,2,0,0,0,0,1,6,0
City of Portage #12,698,778,68,4,19,0,0,0,0,0,0,7,0
City of Portage #13,782,919,111,3,23,0,0,0,0,0,1,5,0
City of Portage #14,540,645,65,7,12,0,0,0,0,0,0,4,0
City of Portage #15,499,689,58,8,11,0,0,0,0,0,2,5,0
City of Portage #16,684,885,82,4,16,3,0,0,0,0,0,11,0
City of Portage #17,631,649,59,10,14,0,0,0,0,0,1,2,0
City of Portage #18,513,648,48,5,11,0,0,0,0,0,0,3,0
City of Portage #19,475,676,52,6,14,0,0,0,0,0,0,2,0
