precinct_name,dem,rep
City of Detroit Precinct 1,84,0
City of Detroit Precinct 2,108,4
City of Detroit Precinct 3,136,6
City of Detroit Precinct 4,93,1
City of Detroit Precinct 5,89,3
City of Detroit Precinct 6,157,3
City of Detroit Precinct 7,142,13
City of Detroit Precinct 8,151,12
City of Detroit Precinct 9,73,3
City of Detroit Precinct 10,127,2
City of Detroit Precinct 11,19,2
City of Detroit Precinct 12,132,10
City of Detroit Precinct 13,87,5
City of Detroit Precinct 14,127,1
City of Detroit Precinct 15,160,5
City of Detroit Precinct 16,138,6
City of Detroit Precinct 17,145,7
City of Detroit Precinct 18,266,10
City of Detroit Precinct 19,140,15
City of Detroit Precinct 20,267,14
City of Detroit Precinct 21,138,25
City of Detroit Precinct 22,138,24
City of Detroit Precinct 23,157,7
City of Detroit Precinct 24,85,6
City of Detroit Precinct 25,159,7
City of Detroit Precinct 26,211,5
City of Detroit Precinct 27,129,5
City of Detroit Precinct 28,17,2
City of Detroit Precinct 29,75,2
City of Detroit Precinct 30,97,7
City of Detroit Precinct 31,175,5
City of Detroit Precinct 32,99,3
City of Detroit Precinct 33,172,11
City of Detroit Precinct 34,163,14
City of Detroit Precinct 35,102,1
City of Detroit Precinct 36,41,0
City of Detroit Precinct 37,207,13
City of Detroit Precinct 38,153,7
City of Detroit Precinct 39,206,6
City of Detroit Precinct 40,148,0
City of Detroit Precinct 41,125,4
City of Detroit Precinct 42,89,6
City of Detroit Precinct 43,225,8
City of Detroit Precinct 44,162,4
City of Detroit Precinct 45,147,11
City of Detroit Precinct 46,60,2
City of Detroit Precinct 47,165,5
City of Detroit Precinct 48,34,3
City of Detroit Precinct 49,108,2
City of Detroit Precinct 50,103,4
City of Detroit Precinct 51,145,4
City of Detroit Precinct 52,145,4
City of Detroit Precinct 53,163,10
City of Detroit Precinct 54,84,3
City of Detroit Precinct 55,143,4
City of Detroit Precinct 56,137,5
City of Detroit Precinct 57,90,1
City of Detroit Precinct 58,72,3
City of Detroit Precinct 59,114,8
City of Detroit Precinct 60,163,8
