precinct_name,biden,trump
City of Detroit Precinct 1,106,5
City of Detroit Precinct 2,146,10
City of Detroit Precinct 3,164,12
City of Detroit Precinct 4,115,4
City of Detroit Precinct 5,97,10
City of Detroit Precinct 6,188,6
City of Detroit Precinct 7,184,23
City of Detroit Precinct 8,192,24
City of Detroit Precinct 9,85,7
City of Detroit Precinct 10,142,7
City of Detroit Precinct 11,21,4
City of Detroit Precinct 12,155,13
City of Detroit Precinct 13,106,5
City of Detroit Precinct 14,145,3
City of Detroit Precinct 15,183,12
City of Detroit Precinct 16,163,10
City of Detroit Precinct 17,172,9
City of Detroit Precinct 18,302,21
City of Detroit Precinct 19,163,23
City of Detroit Precinct 20,311,33
City of Detroit Precinct 21,163,38
City of Detroit Precinct 22,167,47
City of Detroit Precinct 23,197,21
City of Detroit Precinct 24,102,5
City of Detroit Precinct 25,190,10
City of Detroit Precinct 26,240,6
City of Detroit Precinct 27,142,8
City of Detroit Precinct 28,21,4
City of Detroit Precinct 29,95,3
City of Detroit Precinct 30,112,13
City of Detroit Precinct 31,236,18
City of Detroit Precinct 32,128,10
City of Detroit Precinct 33,206,23
City of Detroit Precinct 34,238,28
City of Detroit Precinct 35,110,5
City of Detroit Precinct 36,52,0
City of Detroit Precinct 37,226,19
City of Detroit Precinct 38,185,12
City of Detroit Precinct 39,233,10
City of Detroit Precinct 40,177,7
City of Detroit Precinct 41,142,6
City of Detroit Precinct 42,113,10
City of Detroit Precinct 43,264,13
City of Detroit Precinct 44,186,10
City of Detroit Precinct 45,181,19
City of Detroit Precinct 46,69,7
City of Detroit Precinct 47,194,13
City of Detroit Precinct 48,39,4
City of Detroit Precinct 49,124,6
City of Detroit Precinct 50,119,6
City of Detroit Precinct 51,172,8
City of Detroit Precinct 52,166,8
City of Detroit Precinct 53,190,13
City of Detroit Precinct 54,93,6
City of Detroit Precinct 55,165,8
City of Detroit Precinct 56,156,7
City of Detroit Precinct 57,110,1
City of Detroit Precinct 58,83,4
City of Detroit Precinct 59,140,8
City of Detroit Precinct 60,183,12
City of Detroit Precinct 61,114,10
City of Detroit Precinct 62,63,9
City of Detroit Precinct 63,276,22
City of Detroit Precinct 64,126,10
City of Detroit Precinct 65,175,18
City of Detroit Precinct 66,188,17
City of Detroit Precinct 67,121,17
City of Detroit Precinct 68,245,18
City of Detroit Precinct 69,178,8
City of Detroit Precinct 70,146,6
City of Detroit Precinct 71,193,17
City of Detroit Precinct 72,177,18
City of Detroit Precinct 73,157,11
City of Detroit Precinct 74,160,6
City of Detroit Precinct 75,163,14
City of Detroit Precinct 76,56,3
City of Detroit Precinct 77,69,6
City of Detroit Precinct 78,53,8
City of Detroit Precinct 79,143,12
City of Detroit Precinct 80,184,11
City of Detroit Precinct 81,297,18
City of Detroit Precinct 82,210,10
City of Detroit Precinct 83,292,14
City of Detroit Precinct 84,308,33
City of Detroit Precinct 85,172,18
City of Detroit Precinct 86,180,18
City of Detroit Precinct 87,16,0
City of Detroit Precinct 88,167,9
City of Detroit Precinct 89,101,4
City of Detroit Precinct 90,0,0
City of Detroit Precinct 91,256,21
City of Detroit Precinct 92,197,35
City of Detroit Precinct 93,112,3
City of Detroit Precinct 94,218,19
City of Detroit Precinct 95,194,32
City of Detroit Precinct 96,127,9
City of Detroit Precinct 97,90,6
City of Detroit Precinct 98,163,24
City of Detroit Precinct 99,52,9
City of Detroit Precinct 100,67,6
City of Detroit Precinct 101,9,1
City of Detroit Precinct 102,120,4
City of Detroit Precinct 103,107,2
City of Detroit Precinct 104,60,1
City of Detroit Precinct 105,75,4
City of Detroit Precinct 106,148,6
City of Detroit Precinct 107,75,5
City of Detroit Precinct 108,178,6
City of Detroit Precinct 109,0,0
City of Detroit Precinct 110,133,9
City of Detroit Precinct 111,169,4
City of Detroit Precinct 112,114,5
